Account Number:,3236912309
Account Name:,BESTRADE SDN. BHD.
Account Type:,ACE ENTERPRISE
From Date:,01/10/2025
To Date:,31/10/2025
Available Balance:,MYR 227288.55
Current Balance:,MYR 232288.55
Generation Date:,11/10/2025
Generation Time:,21:37:43
Interest Paid YTD :,MYR 254.71
Interest Accrual :,MYR 40.63
Hold Amount :,MYR 0.00
One Day Float :,MYR 0.00
Online Float :,MYR 0.00
OD Limit :,MYR 0.00

Transaction Type :,All Transaction
Trn. Date,Cheque No/Ref No,Transaction Description,Debit Amount,Credit Amount,Reference 1,Reference 2,Reference 3,Reference 4,Reference 5,Reference 6
"=""01/10/2025""","=""001989""","=""TSFR FUND CR-ATM/EFT""",,585.00,"=""XXXXXX6026          DOUBLE-EIGHT ADVTG""","=""I-0000626""","=""""","=""""","=""""","=""""",
"=""01/10/2025""","=""734638""","=""TSFR FUND CR-ATM/EFT""",,760.00,"=""XXXXXX4600          ILAND DESIGN""","=""2803""","=""""","=""""","=""""","=""""",
"=""01/10/2025""","=""024532""","=""DEP-CASH""",,1000.00,"=""TRAX BRH SBU""","=""""","=""""","=""""","=""""","=""""",
"=""01/10/2025""","=""970262""","=""TSFR FUND CR-ATM/EFT""",,1000.00,"=""XXXXXX7929          CHONG MOOI CHUN""","=""from Chong Mooi Chun""","=""""","=""""","=""""","=""""",
"=""01/10/2025""","=""329070""","=""DUITNOW TRSF CR""",,1030.00,"=""CHAMP SIGNCRAFT PLT      Payment""","=""""","=""""","=""""","=""""","=""""",
"=""01/10/2025""","=""012768""","=""DEP-CASH""",,1500.00,"=""TRAX BRH LDO""","=""""","=""""","=""""","=""""","=""""",
"=""01/10/2025""","=""200226""","=""TSFR FUND CR-ATM/EFT""",,1850.00,"=""XXXXXX0932          CHEN YOUNG ADVERTISINGSB""","=""I-000119""","=""""","=""""","=""""","=""""",
"=""01/10/2025""","=""359558""","=""DUITNOW TRSF CR""",,2240.00,"=""AUTOWHEEL ALIGNMENT SERVIPyt of ac""","=""Pyt of ac""","=""""","=""""","=""""","=""""",
"=""01/10/2025""","=""004824""","=""TSFR FUND CR-ATM/EFT""",,3360.00,"=""XXXXXX0928          LUEN SENG FOUNDRY (M) SD""","=""IV07619""","=""""","=""""","=""""","=""""",
"=""01/10/2025""","=""025592""","=""TSFR FUND CR-ATM/EFT""",,5000.00,"=""XXXXXX1208          PRE-CISION ENGINEERING W""","=""Machine""","=""""","=""""","=""""","=""""",
"=""01/10/2025""","=""007468""","=""TSFR FUND CR-ATM/EFT""",,5600.00,"=""XXXXXX1516          CSH METAL WORKS""","=""inv iv 07595""","=""""","=""""","=""""","=""""",
"=""01/10/2025""","=""186023""","=""TSFR FUND CR-ATM/EFT""",,19758.00,"=""XXXXXX5119          TAKA ELECTRICAL TRADING""","=""IV07556""","=""""","=""""","=""""","=""""",
"=""01/10/2025""","=""280160""","=""DUITNOW TRSF CR""",,102000.00,"=""AK MAJU CONSTRUCTION     Pmt IV-07646""","=""""","=""""","=""""","=""""","=""""",
"=""01/10/2025""","=""359234""","=""DUITNOW TRSF DR""",70000.00,,"=""PUTIAN GUSHU TRADING CO  PC250701""","=""""","=""""","=""""","=""""","=""""",
"=""01/10/2025""","=""212681""","=""DEP-ECP""",,1300.00,"=""IMEPS20251001100002055330062""","=""WHEELTRAK TYRES & AUTOMOBILE SERVICES          CIM""","=""6060600500          6060600500""","=""""","=""""","=""""",
"=""01/10/2025""","=""000000""","=""DEP-CASH""",,27400.00,"=""TRAX BRH KBD""","=""""","=""""","=""""","=""""","=""""",
"=""02/10/2025""","=""164303""","=""TSFR FUND CR-ATM/EFT""",,480.00,"=""BOON HONG ENT""","=""INSTANT TRANSFER""","=""INSTANT TRANSFER""","=""""","=""""","=""""",
"=""02/10/2025""","=""975514""","=""TSFR FUND CR-ATM/EFT""",,575.00,"=""XXXXXX0018          K & C ENTERPRISE""","=""K n C Enterprise""","=""""","=""""","=""""","=""""",
"=""02/10/2025""","=""099533""","=""DUITNOW TRSF CR""",,600.00,"=""C AND C EVENT ADVERTISING8cm aluminium""","=""I-0002035""","=""""","=""""","=""""","=""""",
"=""02/10/2025""","=""928159""","=""TSFR FUND CR-ATM/EFT""",,800.00,"=""XXXXXX2319          MY LIGHTING SHOP SB""","=""I-000059""","=""""","=""""","=""""","=""""",
"=""02/10/2025""","=""013705""","=""DEP-CASH""",,1500.00,"=""TRAX BRH LDO""","=""""","=""""","=""""","=""""","=""""",
"=""02/10/2025""","=""187092""","=""TSFR FUND CR-ATM/EFT""",,2303.50,"=""XXXXXX3308          WIN-ALIGN AUTO CENTRE SB""","=""IV 06107""","=""""","=""""","=""""","=""""",
"=""02/10/2025""","=""037480""","=""DUITNOW TRSF CR""",,3295.00,"=""H&A FASHION STORE SDN BHDHafashion""","=""""","=""""","=""""","=""""","=""""",
"=""02/10/2025""","=""250741""","=""TSFR FUND CR-ATM/EFT""",,8021.79,"=""XXXXXX5716          KINABALU AIR COND & ELEC""","=""IV-0792""","=""""","=""""","=""""","=""""",
"=""02/10/2025""","=""062685""","=""DUITNOW TRSF CR""",,36310.00,"=""PROSPER AUTOTECH SDN. BHDIV-05423 IV-06330""","=""""","=""""","=""""","=""""","=""""",
"=""02/10/2025""","=""053942""","=""DUITNOW TRSF CR""",,36669.20,"=""KL ENTERPRISE 2          Transfer from ABMB""","=""jun25 to aug25""","=""""","=""""","=""""","=""""",
"=""02/10/2025""","=""210292""","=""DEP-ECP""",,500.00,"=""IMEPS20251002100002056490427""","=""KHING LOONG TYRES SDN BHD                      CIM""","=""AC                  BESTRADE SB""","=""""","=""""","=""""",
"=""02/10/2025""","=""160917""","=""DEP-ECP""",,11526.60,"=""IMEPS20251002100002185844571""","=""JUN YI ELECTRICAL ENTERPRISE COMPANY           RHB""","=""MAYAUG2025         PAYMENT""","=""""","=""""","=""""",
"=""02/10/2025""","=""002908""","=""DEP-LOC CHEQ""",,620.00,"=""TRAX BRH INN""","=""""","=""""","=""""","=""""","=""""",
"=""03/10/2025""","=""260436""","=""TSFR FUND CR-ATM/EFT""",,1420.00,"=""XXXXXX5027          DEFINITE CREATION & BUIL""","=""LEDStrip""","=""""","=""""","=""""","=""""",
"=""03/10/2025""","=""174454""","=""TSFR FUND CR-ATM/EFT""",,6200.00,"=""XXXXXX2100          SENTIASA JAYA SDN. BHD.""","=""IV-07610""","=""""","=""""","=""""","=""""",
"=""03/10/2025""","=""118988""","=""DUITNOW TRSF CR""",,19225.00,"=""STC MACHINERY SDN BHD    PAYMENT OF ACCOUNT""","=""""","=""""","=""""","=""""","=""""",
"=""03/10/2025""","=""085779""","=""DUITNOW TRSF CR""",,54054.00,"=""HIAP HO PAINTS CENTRE SDNPY OF A/C""","=""""","=""""","=""""","=""""","=""""",
"=""03/10/2025""","=""106218""","=""DEP-ECP""",,2754.00,"=""IMEPS20251003100002186539648""","=""LAU KUNG SENG ELECTRICAL WORKS                 RHB""","=""IV-07383            IV-07383""","=""""","=""""","=""""",
"=""04/10/2025""","=""236019""","=""TSFR FUND CR-ATM/EFT""",,500.00,"=""XXXXXX9121          168 SIGN & CO""","=""I-0000212""","=""""","=""""","=""""","=""""",
"=""04/10/2025""","=""012170""","=""DUITNOW TRSF CR""",,3260.00,"=""FUNGYA ADVERTISING SDN. BTransfer From ABMB""","=""INV 2422""","=""""","=""""","=""""","=""""",
"=""04/10/2025""","=""013806""","=""DUITNOW TRSF CR""",,20000.00,"=""LAU HING ING             Payment""","=""""","=""""","=""""","=""""","=""""",
"=""06/10/2025""","=""082451""","=""DUITNOW TRSF CR""",,880.00,"=""ALBERT YONG WEI JIUN     Buah-Buahan Yong (IV-0759""","=""6)             27 SEP 2025""","=""""","=""""","=""""","=""""",
"=""06/10/2025""","=""534483""","=""TSFR FUND CR-ATM/EFT""",,2400.00,"=""XXXXXX4932          Z.I. PRINTING COMPANY""","=""INV 298""","=""""","=""""","=""""","=""""",
"=""06/10/2025""","=""173085""","=""DEP-ECP""",,3840.00,"=""IMEPS20251006100002248531857""","=""WANG SIONG HARDWARE CO                         HLB""","=""LESS RM60 REPAIR CHGIV 07473""","=""""","=""""","=""""",
"=""06/10/2025""","=""600647""","=""DEP-LOC CHEQ""",,2683.00,"=""TRAX BRH JPI""","=""""","=""""","=""""","=""""","=""""",
"=""06/10/2025""","=""001691""","=""DEP-LOC CHEQ""",,2838.10,"=""TRAX BRH BTL""","=""""","=""""","=""""","=""""","=""""",
"=""06/10/2025""","=""599655""","=""DEP-LOC CHEQ""",,4950.00,"=""TRAX BRH JCL""","=""""","=""""","=""""","=""""","=""""",
"=""06/10/2025""","=""206558""","=""DEP-LOC CHEQ""",,5598.50,"=""TRAX BRH JAS""","=""""","=""""","=""""","=""""","=""""",
"=""06/10/2025""","=""001412""","=""DEP-LOC CHEQ""",,129950.00,"=""TRAX BRH JTZ""","=""""","=""""","=""""","=""""","=""""",
"=""07/10/2025""","=""199986""","=""DUITNOW TRSF CR""",,754.00,"=""CHIN YII ENGINEERING CO  Sent from AmOnline""","=""Iv-07523""","=""""","=""""","=""""","=""""",
